VOI|0000000118|0|||||offline|1415087116|1415087121|1415087329|841258464320|0084904567890|841258464320|1|8491020467||-1|-1|2|1118|30012|||16|84910100401|0||420|0||||||||||||||||||||||||||84910100401||||||||||||||118||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1||||||
SMS|0000000119|3|||||offline|1415144950|1415144950|1415144950|841258464320|0084904385538|841258464320|1|||-1|-1|4|1119|30031|||16||0||420|0||||||||||APPLYTARIFF_MSG|119||||||119|119||||||||||||||||||||||119||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1||||||
SMS|0000000120|3|||||offline|1415145124|1415145124|1415145124|841258464320|0084904385538|841258464320|1|||-1|-1|4|1120|30031|||16||0||420|0||||||||||APPLYTARIFF_MSG|120||||||120|120||||||||||||||||||||||120||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1||||||
VOI|0000000122|0|||||offline|1415441854|1415441854|1415441878|841258464320|006084904567890|841258464320|1|||-1|-1|2|1122|30012|||16|52001|0||420|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||0|1||||||
VOI|0000000123|0|||||offline|1415443169|1415443169|1415443442|841258464320|006084904567890|841258464320|1|||-1|-1|2|1123|30012|||16|52001|0||420|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||0|1||||||
VOI|0000000124|0|||||offline|1415443467|1415443467|1415443496|0084904567890|841258464320|841258464320|1|||-1|-1|2|1124|30012|||16|52001|0||420|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||0|1||||||
VOI|0000000125|0|||||offline|1415443480|1415443480|1415443557|0084904567890|841258464320|841258464320|1|||-1|-1|2|1125|30012|||16|52001|0||420|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||0|1||||||
VOI|0000000126|0|||||offline|1415699325|1415699325|1415699520|841258464320|006084904567890|841258464320|1|||-1|-1|2|1126|30012|||16|52001|0||420|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1||||||0|1||||||
GPR|0000000127|2|||||offline|1415699536|1415699536|1415700136|841258464320||841258464320|1|84910100401999||-1|-1|3|1127|30040||8491020467|400||0|1048576|420|0|||||m3-mms|1001|1|0|||||||||||||||||||||||||||||||1|127||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1||||||
CMS|0000000128|1|||||offline|1415695954|1415695954|1415695954|841258464320|0084904385538|841258464320|1|8491020467||-1|-1|4|1128|30016|||16||0||420|0||||||||||||||||||||||||||||||||||||||||128||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1||||||
SMS|0000000129|3|||||offline|1415695966|1415695966|1415695966|841258464320|0084904385538|841258464320|1|||-1|-1|4|1129|30031|||16||0||420|0||||||||||APPLYTARIFF_MSG|129||||||129|129||||||||||||||||||||||129||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1||||||
